日期,Day,今日学习内容,完成情况,每日题练习,错题重点,下日计划,周回顾
2025-09-01,Day36,综合题专项训练 + 限时完成, , , ,错题回顾与笔记整理,
2025-09-02,Day37,错题回顾与笔记整理 + 每日一练, , , ,继续综合题专项训练,
2025-09-03,Day38,继续综合题专项训练 + 每日一练, , , ,错题归纳与重点整理,
2025-09-04,Day39,继续综合题专项训练 + 每日一练, , , ,继续错题复盘,
2025-09-05,Day40,继续综合题专项训练 + 每日一练, , , ,继续错题复盘,
2025-09-06,Day41,综合题专项训练 + 错题整理, , , ,准备案例专题训练,
2025-09-07,Day42,综合题专项训练 + 错题整理, , , ,继续案例准备,
2025-09-08,Day43,综合题专项训练 + 错题整理, , , ,案例训练 Day1: 数据流图,
2025-09-09,Day44,综合题专项训练 + 错题整理, , , ,案例训练 Day1 继续,
2025-09-10,Day45,综合题专项训练 + 错题整理, , , ,准备数据流图专题,
2025-09-11,Day46,案例专题—数据流图与功能分解练题, , , ,重复第二天完成数据流图,
2025-09-12,Day47,案例专题—数据流图与功能分解加强练习, , , ,准备数据库设计专题,
2025-09-13,Day48,案例专题—数据库设计（ER 图／范式）练题, , , ,继续数据库设计,
2025-09-14,Day49,案例专题—数据库设计加强练习, , , ,准备 UML 建模专题,
2025-09-15,Day50,案例专题—UML 建模练习（类图、顺序图）, , , ,UML 专题加强练习,
2025-09-16,Day51,案例专题—UML 建模加强练习, , , ,准备 C 语言算法题,
2025-09-17,Day52,案例专题—C 语言算法题练习, , , ,C 语言算法题加强练习,
2025-09-18,Day53,案例专题—C 语言算法题加强练习, , , ,准备面向对象设计题,
2025-09-19,Day54,案例专题—面向对象设计题练习, , , ,对象设计加强练习,
2025-09-20,Day55,案例专题—面向对象设计加强练习, , , ,真题强化训练第1套,
2025-09-21,Day56,真题强化训练第1套（上午+案例题，限时） , , , ,第2套真题,
2025-09-22,Day57,真题强化训练第2套, , , ,第3套真题,
2025-09-23,Day58,真题强化训练第3套, , , ,第4套真题,
2025-09-24,Day59,真题强化训练第4套, , , ,第5套真题,
2025-09-25,Day60,真题强化训练第5套, , , ,第6套真题,
2025-09-26,Day61,真题强化训练第6套, , , ,第7套真题,
2025-09-27,Day62,真题强化训练第7套, , , ,第8套真题,
2025-09-28,Day63,真题强化训练第8套, , , ,第9套真题,
2025-09-29,Day64,真题强化训练第9套, , , ,第10套真题,
2025-09-30,Day65,真题强化训练第10套, , , ,错题本回顾与查漏,
2025-10-01,Day66,笔记 + 错题本回顾（第1–3章重点） , , , ,继续错题回顾第4–6章,
2025-10-02,Day67,笔记 + 错题本回顾（第4–6章重点） , , , ,继续错题回顾第7–10章,
2025-10-03,Day68,高频知识点专题训练（三范式、UML、算法、加密等） , , , ,准备视频串讲回顾,
2025-10-04,Day69,视频串讲快速回顾全部章节（可 2×速） , , , ,最后模拟全套考试,
2025-10-05,Day70,模拟考试全套（上午+下午案例） + 最后总结心态调整, , , ,
